4.995799	1.362089	42.181053	104	108	112
-11.209002	3.540652	20.859705	174	172	173
-7.279607	-1.515769	34.906067	149	152	159
-5.830943	-6.211165	20.208725	56	57	49
8.769390	9.316876	44.426590	89	94	103
14.688077	-2.276698	44.378857	167	169	169
13.608639	-2.396888	43.254665	206	206	210
-10.054406	4.248870	24.747051	175	179	181
6.247243	8.962599	36.633369	179	176	180
13.225213	-2.376433	42.869907	181	183	188
11.630645	-2.290171	41.245506	177	178	181
-0.019073	7.809982	38.256042	181	173	180
-0.436578	3.649915	49.826035	124	128	141
-0.830687	5.668956	39.707581	198	182	176
-9.475043	4.158856	24.536037	145	145	152
-2.171854	-5.781840	37.125820	49	56	70
-1.158514	7.657700	37.521351	175	164	166
3.971408	5.153322	36.642269	23	21	15
-0.382694	5.486933	38.047264	185	176	172
13.077657	-1.110013	40.421692	198	199	202
0.251396	7.336244	37.460152	143	136	141
-5.389677	-6.451791	22.476223	139	139	136
13.680094	0.295967	38.880356	192	196	198
-7.173991	-6.089298	21.373922	130	130	130
-9.232531	-4.145494	21.651091	142	147	149
-0.780053	5.825891	39.170612	105	93	93
-9.990575	4.364630	24.835007	187	191	193
14.327869	0.168085	41.758621	71	73	70
-12.137650	3.996802	22.234350	113	113	115
14.851464	-1.299063	44.850845	193	194	197
8.848642	3.936297	41.185921	130	162	109
-0.188819	3.638677	37.974831	37	41	45
14.493292	-12.188389	49.303249	21	24	16
-1.799178	-4.664016	39.834446	158	167	167
14.749566	-0.390322	45.078285	174	176	178
12.271269	-4.206644	41.184944	44	41	52
12.300065	-4.486514	44.561893	128	144	143
10.752819	7.334218	44.468758	161	171	177
12.703456	-1.236664	37.441231	146	147	150
14.382998	-10.677615	49.243954	31	40	42
11.870725	-4.321079	40.680550	129	137	139
-5.104042	3.238482	34.597580	198	175	174
16.702219	-4.854927	45.351620	152	157	160
17.152111	-5.293530	49.659912	139	167	170
13.823148	-0.378674	41.402714	178	180	180
4.760787	1.313929	41.130520	127	130	138
